,Year,Revenue_disney,Revenue_netflix,Revenue_hulu,Revenue_twitch,Revenue_youtube,Revenue_tiktok,Subscribers_youtube,Subscribers_twitch,Subscribers_tiktok,Subscribers_netflix,Subscribers_hulu,Subscribers_disney,Subscribers_prime,Revenue_prime
0,2023,8.4,33.7,11.2,2.8,86.0,13.2,2700.0,1.89,1.587,238.0,48.2,614.0,230,352
1,2022,7.4,31.6,10.7,2.8,29.243,9.4,2600.0,2.58,1.366,220.0,45.0,582.0,213,315
2,2021,5.2,29.6,9.6,2.7,28.845,4.6,2500.0,2.78,1.0,209.0,43.0,434.0,200,279
3,2020,2.802,24.72,7.2,2.3,19.772,1.9,2300.0,2.12,0.7,192.9,39.0,189.9,150,236
4,2019,0.0,19.83,4.5,1.5,15.149,0.35,2000.0,1.26,0.381,151.5,28.0,0.0,120,170
5,2018,0.0,15.39,3.5,0.9,11.1,0.15,1800.0,1.07,0.133,124.3,25.0,0.0,100,141
6,2017,0.0,11.6,3.1,0.4,8.1,0.063,1500.0,0.74,0.065,99.0,17.0,0.0,66,106
7,2016,0.0,8.8,2.4,0.1,6.7,0.0,1400.0,0.61,0.0,79.9,12.0,0.0,46,80
